solver,instance,path,status,runtime_sec,returncode,timeout,killed,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,conflict_literals,memory_reported_mb
minisat,g2-slp-synthesis-aes-top29.cnf,benchmarks/g2-slp-synthesis-aes-top29.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,grs-96-96.cnf,benchmarks/grs-96-96.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,satcoin-genesis-UNSAT-18400.cnf,benchmarks/satcoin-genesis-UNSAT-18400.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,iso-ukn004.shuffled-as.sat05-3385.cnf,benchmarks/iso-ukn004.shuffled-as.sat05-3385.cnf,SAT,0.0751867294311523,10.0,False,False,269.0,655.0,14643.0,3.0,1889.0,10295.0,0.019646,2212.0,83.16
minisat,hash_table_find_safety_size_27.cnf,benchmarks/hash_table_find_safety_size_27.cnf,UNSAT,241.87574458122253,20.0,False,False,14045.0,1906047.0,868708919.0,61.0,17997155.0,72523297.0,236.214,1597758.0,9013.48
minisat,php15-mixed-15percent-blocked.cnf,benchmarks/php15-mixed-15percent-blocked.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,SC23_Timetable_C_476_E_50_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_476_E_50_Cl_32_D_6_T_50.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,SC23_Timetable_C_482_E_50_Cl_33_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_482_E_50_Cl_33_D_6_T_50.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,stb_792_333.apx_1_DS-ST.cnf,benchmarks/stb_792_333.apx_1_DS-ST.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,hash_table_find_safety_size_22.cnf,benchmarks/hash_table_find_safety_size_22.cnf,UNSAT,130.99538445472717,20.0,False,False,14109.0,1281371.0,393096944.0,61.0,13246826.0,53229976.0,126.735,1034248.0,6659.02
minisat,satcoin-genesis-UNSAT-19500.cnf,benchmarks/satcoin-genesis-UNSAT-19500.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,brent_51_0.07.cnf,benchmarks/brent_51_0.07.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,29_1.cnf,benchmarks/29_1.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,WS_400_24_70_10.apx_1_DC-ST.cnf,benchmarks/WS_400_24_70_10.apx_1_DC-ST.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,instance_n6_i6_pp_ci_ce.cnf,benchmarks/instance_n6_i6_pp_ci_ce.cnf,SAT,0.5266251564025879,10.0,False,False,14892.0,46189.0,3752343.0,62.0,7278.0,63935.0,0.486473,413628.0,87.79
minisat,PRP_30_41.cnf,benchmarks/PRP_30_41.cnf,SAT,146.14695477485657,10.0,False,False,1799112.0,26713307.0,641931040.0,3498.0,191450.0,1139488.0,144.543,36375862.0,449.05
minisat,grs-64-32.cnf,benchmarks/grs-64-32.cnf,UNSAT,156.69062042236328,20.0,False,False,2934286.0,6609422.0,1075395510.0,5118.0,56794.0,166198.0,155.154,80211904.0,179.99
minisat,grs-48-160.cnf,benchmarks/grs-48-160.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,SC23_Timetable_C_473_E_49_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_473_E_49_Cl_32_D_6_T_50.cnf,SAT,108.04367113113403,10.0,False,False,486547.0,20474985.0,222312634.0,1023.0,250975.0,815307.0,106.808,75615143.0,551.68
minisat,asconhashv12_opt64_H4_M2-LOD9_m0_2_U19.c.cnf,benchmarks/asconhashv12_opt64_H4_M2-LOD9_m0_2_U19.c.cnf,UNSAT,128.19460773468018,20.0,False,False,266118.0,1055334.0,700961299.0,637.0,126995.0,296493.0,126.908,19050013.0,253.81
minisat,ER_500_10_5.apx_2_DC-ST.cnf,benchmarks/ER_500_10_5.apx_2_DC-ST.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,qwh.40.560.shuffled-as.sat03-1654.cnf,benchmarks/qwh.40.560.shuffled-as.sat03-1654.cnf,SAT,18.402591943740845,10.0,False,False,223042.0,706881.0,79470825.0,511.0,3100.0,26345.0,18.1643,33099390.0,140.83
minisat,php17-mixed-15percent-blocked.cnf,benchmarks/php17-mixed-15percent-blocked.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,satcoin-genesis-UNSAT-9880.cnf,benchmarks/satcoin-genesis-UNSAT-9880.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,spg_200_307.cnf,benchmarks/spg_200_307.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,6s165.cnf,benchmarks/6s165.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,28_2.cnf,benchmarks/28_2.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,tseitin_d3_n110000.cnf,benchmarks/tseitin_d3_n110000.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,DivS_568_11.cnf.sanitized.cnf,benchmarks/DivS_568_11.cnf.sanitized.cnf,SAT,61.306501388549805,10.0,False,False,0.0,1.0,568.0,1.0,568.0,553495.0,60.5703,0.0,167.86
minisat,ER_400_20_4.apx_1_DC-ST.cnf,benchmarks/ER_400_20_4.apx_1_DC-ST.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,hash_table_find_safety_size_26.cnf,benchmarks/hash_table_find_safety_size_26.cnf,UNSAT,149.38092398643494,20.0,False,False,15389.0,1543080.0,605638862.0,62.0,16990686.0,68433090.0,145.446,1940327.0,8314.8
minisat,posixpath__joinrealpath_13.cnf,benchmarks/posixpath__joinrealpath_13.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,Urquhart-s3-b3.shuffled-as.sat03-1556.cnf,benchmarks/Urquhart-s3-b3.shuffled-as.sat03-1556.cnf,UNSAT,16.100624799728394,20.0,False,False,7767636.0,11849327.0,47380361.0,12286.0,45.0,376.0,15.9979,102246015.0,82.2
minisat,SC23_Timetable_C_473_E_46_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_473_E_46_Cl_32_D_6_T_50.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,satcoin-genesis-UNSAT-9080.cnf,benchmarks/satcoin-genesis-UNSAT-9080.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
minisat,REGRandom-K3-L3-Seed10.cnf,benchmarks/REGRandom-K3-L3-Seed10.cnf,UNSAT,117.25936365127563,20.0,False,False,3773868.0,16772876.0,67478116.0,6650.0,4608.0,474496.0,115.533,502713638.0,1106.2
minisat,square.2.0.i.smt2-cvc4.cnf,benchmarks/square.2.0.i.smt2-cvc4.cnf,UNSAT,1.480851411819458,20.0,False,False,12613.0,41257.0,16954516.0,55.0,42387.0,183641.0,1.42237,333514.0,107.08
minisat,Schur_160_5_d34.cnf,benchmarks/Schur_160_5_d34.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,
