solver,instance,path,status,runtime_sec,returncode,timeout,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,learned_clauses,reduced,subsumed,strengthened,vivified,process_time_reported,real_time_reported,memory_reported_mb,exit_code_reported,blocked_restarts,reduce_db_calls,removed_clauses,avg_learnt_size,learnts_dl2,learnts_size2,learnts_size1,reduced_clauses,conflict_literals,actual_reward
maplesat,iso-brn100.shuffled-as.sat05-3025.cnf,benchmarks/iso-brn100.shuffled-as.sat05-3025.cnf,SAT,0.014624834060668945,10.0,False,145.0,335.0,7366.0,2.0,3587.0,8859.0,0.006676,,,,,,,,,,,,,,,,,,1260.0,0.269289
glucose,brent_63_0.26.cnf,benchmarks/brent_63_0.26.cnf,TIMEOUT,150.0,,True,,,,,74886.0,173314.0,,,,,,,,,,,,,,,,,,,,
maplesat,brent_63_0.26.cnf,benchmarks/brent_63_0.26.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,ContextModel_output_8_4_8.bul_.dimacs.cnf,benchmarks/ContextModel_output_8_4_8.bul_.dimacs.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,ContextModel_output_8_4_8.bul_.dimacs.cnf,benchmarks/ContextModel_output_8_4_8.bul_.dimacs.cnf,TIMEOUT,150.0,,True,,,,,36736.0,243458.0,,,,,,,,,,,,,,,,,,,,
maplesat,ContextModel_output_8_4_8.bul_.dimacs.cnf,benchmarks/ContextModel_output_8_4_8.bul_.dimacs.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,grs-64-160.cnf,benchmarks/grs-64-160.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,SAT,36.78387093544006,10.0,False,529849.0,22480596.0,273506205.0,19246.0,,,,507790.0,330600.0,185707.0,161828.0,9645.0,36.74,36.76,651920.0,10.0,,,,,,,,,,
glucose,grs-64-160.cnf,benchmarks/grs-64-160.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,SAT,26.694785118103027,10.0,False,609241.0,34275198.0,331233895.0,8250.0,250016.0,810461.0,26.5128,,,,,,,,,,1144.0,21.0,536529.0,69.0,2916.0,1600.0,10.0,3697.0,,
maplesat,SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_474_E_50_Cl_32_D_6_T_50.cnf,SAT,17.77677083015442,10.0,False,321887.0,18247836.0,183802559.0,766.0,250016.0,810461.0,17.6047,,,,,,,,,,,,,,,,,,39388133.0,0.042557
glucose,shift1add.28943.cnf,benchmarks/shift1add.28943.cnf,UNSAT,57.472009897232056,20.0,False,146335.0,533488578.0,1126311530.0,1022.0,636737.0,1128757.0,57.2735,,,,,,,,,,0.0,7.0,20631.0,4.0,44821.0,43864.0,42054.0,1722.0,,
maplesat,grs-64-160.cnf,benchmarks/grs-64-160.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
maplesat,shift1add.28943.cnf,benchmarks/shift1add.28943.cnf,UNSAT,8.960200071334839,20.0,False,31410.0,19716265.0,113125219.0,116.0,636737.0,1128757.0,8.86358,,,,,,,,,,,,,,,,,,109924.0,0.002335
cadical,shift1add.28943.cnf,benchmarks/shift1add.28943.cnf,UNSAT,103.40358185768127,20.0,False,2958.0,129517.0,1456228.0,25.0,,,,1844.0,12.0,175706.0,91080.0,,103.33,103.39,547040.0,20.0,,,,,,,,,,
glucose,asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,benchmarks/asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,SAT,113.58397793769836,10.0,False,393584.0,2202674.0,1388057778.0,2905.0,158682.0,372495.0,113.301,,,,,,,,,,1367.0,17.0,324746.0,46.0,1179.0,182.0,13.0,154.0,,
cadical,mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,benchmarks/mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,SAT,0.9026148319244385,10.0,False,33291.0,169733.0,8112448.0,2138.0,,,,32462.0,23393.0,1895.0,2470.0,217.0,0.89,0.89,61328.0,10.0,,,,,,,,,,
glucose,mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,benchmarks/mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,SAT,0.5056567192077637,10.0,False,35305.0,98211.0,3254531.0,285.0,2396.0,83733.0,0.493292,,,,,,,,,,39.0,4.0,16193.0,33.0,38.0,25.0,0.0,30.0,,
maplesat,mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,benchmarks/mm-1x10-10-10-sb.1.shuffled-as.sat03-1489.cnf,SAT,0.20765900611877441,10.0,False,7322.0,27434.0,787942.0,31.0,2396.0,83733.0,0.197578,,,,,,,,,,,,,,,,,,229218.0,0.146108
cadical,asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,benchmarks/asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
maplesat,asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,benchmarks/asconhashv12_opt64_H9_M2-Jdds95CIv_m1_5.c.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,PRP_100_250.cnf,benchmarks/PRP_100_250.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,PRP_100_250.cnf,benchmarks/PRP_100_250.cnf,TIMEOUT,150.0,,True,,,,,3928456.0,23566950.0,,,,,,,,,,,,,,,,,,,,
maplesat,PRP_100_250.cnf,benchmarks/PRP_100_250.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,22_1.cnf,benchmarks/22_1.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,22_1.cnf,benchmarks/22_1.cnf,TIMEOUT,150.0,,True,,,,,3648.0,12032.0,,,,,,,,,,,,,,,,,,,,
maplesat,22_1.cnf,benchmarks/22_1.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,PRP_100_500.cnf,benchmarks/PRP_100_500.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,PRP_100_500.cnf,benchmarks/PRP_100_500.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
maplesat,PRP_100_500.cnf,benchmarks/PRP_100_500.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,TableSymModel_output_8_3_10.bul_.dimacs.cnf,benchmarks/TableSymModel_output_8_3_10.bul_.dimacs.cnf,TIMEOUT,150.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
