solver,instance,path,status,runtime_sec,returncode,timeout,killed,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,learned_clauses,reduced,subsumed,strengthened,vivified,process_time_reported,real_time_reported,memory_reported_mb,exit_code_reported,blocked_restarts,reduce_db_calls,removed_clauses,avg_learnt_size,learnts_dl2,learnts_size2,learnts_size1,reduced_clauses,conflict_literals,actual_reward
cadical,or_randxor_k3_n540_m540.cnf,benchmarks/or_randxor_k3_n540_m540.cnf,UNSAT,21.37631225585937,20.0,False,False,836834.0,981556.0,35251562.0,22735.0,,,,806489.0,407310.0,363973.0,39760.0,5254.0,21.19,21.37,68.0,20.0,,,,,,,,,,
glucose,or_randxor_k3_n540_m540.cnf,benchmarks/or_randxor_k3_n540_m540.cnf,TIMEOUT,300.0,,True,False,,,,,1080.0,7287.0,,,,,,,,,,,,,,,,,,,,
maplesat,or_randxor_k3_n540_m540.cnf,benchmarks/or_randxor_k3_n540_m540.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,intervals80.cnf,benchmarks/intervals80.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,intervals80.cnf,benchmarks/intervals80.cnf,TIMEOUT,300.0,,True,False,,,,,2496.0,56162.0,,,,,,,,,,,,,,,,,,,,
maplesat,intervals80.cnf,benchmarks/intervals80.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,SCPC-700-82.cnf,benchmarks/SCPC-700-82.cnf,SAT,21.475407361984253,10.0,False,False,465060.0,572300.0,24044971.0,4026.0,,,,452224.0,230727.0,169671.0,66155.0,1230.0,21.3,21.46,67.0,10.0,,,,,,,,,,
glucose,SCPC-700-82.cnf,benchmarks/SCPC-700-82.cnf,TIMEOUT,300.0,,True,False,,,,,700.0,27275.0,,,,,,,,,,,,,,,,,,,,
maplesat,SCPC-700-82.cnf,benchmarks/SCPC-700-82.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
cadical,ContextModel_output_6_5_6.bul_.dimacs.cnf,benchmarks/ContextModel_output_6_5_6.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose,ContextModel_output_6_5_6.bul_.dimacs.cnf,benchmarks/ContextModel_output_6_5_6.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,29610.0,184038.0,,,,,,,,,,,,,,,,,,,,
maplesat,ContextModel_output_6_5_6.bul_.dimacs.cnf,benchmarks/ContextModel_output_6_5_6.bul_.dimacs.cnf,SAT,56.65390682220459,10.0,False,False,408033.0,743621.0,409752782.0,1002.0,29610.0,184038.0,56.1681,,,,,,,,,,,,,,,,,,31968774.0,0.030229
cadical,brent_63_0.22.cnf,benchmarks/brent_63_0.22.cnf,SAT,27.482137203216556,10.0,False,False,359290.0,4975337.0,94751266.0,9871.0,,,,302547.0,213653.0,21495.0,66972.0,4320.0,27.14,27.46,85.34,10.0,,,,,,,,,,
