solver,instance,path,status,runtime_sec,returncode,timeout,killed,conflicts,decisions,propagations,restarts,variables,clauses,cpu_time_reported,learned_clauses,reduced,subsumed,strengthened,vivified,process_time_reported,real_time_reported,memory_reported_mb,exit_code_reported,blocked_restarts,reduce_db_calls,removed_clauses,avg_learnt_size,learnts_dl2,learnts_size2,learnts_size1,reduced_clauses,conflict_literals,actual_reward,category,decisions_per_conflict,conflicts_per_decision,decisions_per_second,restarts_per_conflict,conflicts_per_restart,restarts_per_second,learned_per_conflict,removed_per_conflict,reduced_per_conflict,propagations_per_conflict,propagations_per_decision
maplesat,asconhashv12_opt64_H7_M2-gHvzZOd_m3_4_U11.c.cnf,benchmarks/asconhashv12_opt64_H7_M2-gHvzZOd_m3_4_U11.c.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
cadical,os_fwalk_12.cnf,benchmarks/os_fwalk_12.cnf,UNSAT,1.030644178390503,20.0,False,False,43583.0,48177.0,1726845.0,367.0,,,,42682.0,7326.0,23802.0,1563.0,306.0,0.95,0.96,67.0,20.0,,,,,,,,,,,industrial,1.1054080719546613,0.9046432945181311,46744.55162133183,0.008420714498772457,118.75476839237058,356.08797652466495,0.9793268017346213,,,39.62198563660143,35.84376362164518
glucose,os_fwalk_12.cnf,benchmarks/os_fwalk_12.cnf,TIMEOUT,300.0,,True,False,,,,,288.0,3240.0,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
maplesat,os_fwalk_12.cnf,benchmarks/os_fwalk_12.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
cadical,ContextModel_output_6_3_8.bul_.dimacs.cnf,benchmarks/ContextModel_output_6_3_8.bul_.dimacs.cnf,SAT,197.74112224578855,10.0,False,False,2222499.0,8148883.0,355709106.0,100428.0,,,,2173413.0,1520754.0,541840.0,93372.0,9790.0,196.06,197.73,68.0,10.0,,,,,,,,,,,industrial,3.6665406823580122,0.27273664378295776,41209.85512498047,0.045186971962642056,22.130272433982555,507.8761506934802,0.9779140508049723,,,160.04916357667653,43.65127171417236
glucose,ContextModel_output_6_3_8.bul_.dimacs.cnf,benchmarks/ContextModel_output_6_3_8.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,9000.0,45005.0,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
maplesat,ContextModel_output_6_3_8.bul_.dimacs.cnf,benchmarks/ContextModel_output_6_3_8.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
cadical,PRP_100_400.cnf,benchmarks/PRP_100_400.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
glucose,PRP_100_400.cnf,benchmarks/PRP_100_400.cnf,TIMEOUT,300.0,,True,False,,,,,6304083.0,37860738.0,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
maplesat,PRP_100_400.cnf,benchmarks/PRP_100_400.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
cadical,SCPC-800-44.cnf,benchmarks/SCPC-800-44.cnf,SAT,13.638708114624023,10.0,False,False,276045.0,350702.0,19211835.0,2337.0,,,,268314.0,131125.0,99816.0,51376.0,869.0,13.49,13.63,67.0,10.0,,,,,,,,,,,crafted,1.2704522813309425,0.7871212596449407,25713.725746792825,0.008466010976471228,118.1193838254172,171.35053997483573,0.9719936966798891,,,69.59675052980492,54.78108194421475
glucose,SCPC-800-44.cnf,benchmarks/SCPC-800-44.cnf,TIMEOUT,300.0,,True,False,,,,,800.0,33695.0,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
maplesat,SCPC-800-44.cnf,benchmarks/SCPC-800-44.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
cadical,php18-mixed-15percent-blocked.cnf,benchmarks/php18-mixed-15percent-blocked.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
glucose,php18-mixed-15percent-blocked.cnf,benchmarks/php18-mixed-15percent-blocked.cnf,TIMEOUT,300.0,,True,False,,,,,526.0,5477.0,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
maplesat,php18-mixed-15percent-blocked.cnf,benchmarks/php18-mixed-15percent-blocked.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
cadical,DLTM_twitter690_74_16.cnf,benchmarks/DLTM_twitter690_74_16.cnf,SAT,267.9846839904785,10.0,False,False,618401.0,1777025.0,1667931697.0,28506.0,,,,600616.0,472524.0,68255.0,10437.0,10703.0,265.58,267.87,104.26,10.0,,,,,,,,,,,industrial,2.8735804114158934,0.3479979178683474,6631.069259402667,0.04609630320778912,21.693713604153512,106.37175071174148,0.9712403440486028,,,2697.1684990806934,938.609021820177
glucose,DLTM_twitter690_74_16.cnf,benchmarks/DLTM_twitter690_74_16.cnf,SAT,92.52519941329956,10.0,False,False,300746.0,472019.0,667738750.0,843.0,34886.0,217178.0,91.52,,,,,,,,,,2705.0,14.0,229736.0,34.0,3545.0,2515.0,2.0,192.0,,,industrial,1.5694938586049356,0.6371480809035229,5101.518321420143,0.002803029799232575,356.75682087781735,9.111031430847447,,0.7638871339934695,0.0006384124809640029,2220.274750121365,1414.6437961183765
maplesat,DLTM_twitter690_74_16.cnf,benchmarks/DLTM_twitter690_74_16.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
cadical,c880_gr_rcs_w7.shuffled.cnf,benchmarks/c880_gr_rcs_w7.shuffled.cnf,SAT,0.2891340255737304,10.0,False,False,184.0,4168.0,58504.0,3.0,,,,175.0,,87.0,47.0,,0.24,0.28,68.0,10.0,,,,,,,,,,,random,22.652173913043477,0.044145873320537425,14415.460068144565,0.016304347826086956,61.333333333333336,10.37581098954743,0.9510869565217391,,,317.95652173913044,14.036468330134356
glucose,c880_gr_rcs_w7.shuffled.cnf,benchmarks/c880_gr_rcs_w7.shuffled.cnf,SAT,0.2227113246917724,10.0,False,False,771.0,2224.0,124039.0,2.0,4592.0,61745.0,0.167747,,,,,,,,,,0.0,0.0,0.0,50.0,0.0,0.0,0.0,3.0,,,random,2.8845654993514915,0.3466726618705036,9986.021155762812,0.0025940337224383916,385.5,8.980234852304687,,0.0,0.0038910505836575876,160.88067444876782,55.772931654676256
maplesat,c880_gr_rcs_w7.shuffled.cnf,benchmarks/c880_gr_rcs_w7.shuffled.cnf,SAT,0.1006538867950439,10.0,False,False,155.0,1167.0,34203.0,2.0,4592.0,61745.0,0.087005,,,,,,,,,,,,,,,,,,5255.0,0.050006,random,7.529032258064516,0.1328191945158526,11594.187141290424,0.012903225806451613,77.5,19.87007222157742,,,,220.66451612903225,29.308483290488432
cadical,26_1.cnf,benchmarks/26_1.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,
glucose,26_1.cnf,benchmarks/26_1.cnf,TIMEOUT,300.0,,True,False,,,,,4288.0,14208.0,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,
maplesat,26_1.cnf,benchmarks/26_1.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,,,,,,,,,,
cadical,satch2ways15u.cnf,benchmarks/satch2ways15u.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
glucose,satch2ways15u.cnf,benchmarks/satch2ways15u.cnf,TIMEOUT,300.0,,True,False,,,,,15195.0,46499.0,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
maplesat,satch2ways15u.cnf,benchmarks/satch2ways15u.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
cadical,TableSymModel_output_6_4_6.bul_.dimacs.cnf,benchmarks/TableSymModel_output_6_4_6.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
glucose,TableSymModel_output_6_4_6.bul_.dimacs.cnf,benchmarks/TableSymModel_output_6_4_6.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,5976.0,52664.0,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
maplesat,TableSymModel_output_6_4_6.bul_.dimacs.cnf,benchmarks/TableSymModel_output_6_4_6.bul_.dimacs.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
cadical,ER_400_20_7.apx_1_DC-ST.cnf,benchmarks/ER_400_20_7.apx_1_DC-ST.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
glucose,ER_400_20_7.apx_1_DC-ST.cnf,benchmarks/ER_400_20_7.apx_1_DC-ST.cnf,TIMEOUT,300.0,,True,False,,,,,802.0,48438.0,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
maplesat,ER_400_20_7.apx_1_DC-ST.cnf,benchmarks/ER_400_20_7.apx_1_DC-ST.cnf,UNSAT,267.58262276649475,20.0,False,False,3007457.0,4122124.0,170939844.0,5242.0,802.0,48438.0,265.591,,,,,,,,,,,,,,,,,,208146073.0,0.146527,crafted,1.3706343931101925,0.7295891632566124,15405.051185245165,0.001743000814309232,573.7231972529569,19.590210850778664,,,,56.838666022490095,41.46887478397059
cadical,SC23_Timetable_C_481_E_51_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_481_E_51_Cl_32_D_6_T_50.cnf,SAT,113.5568585395813,10.0,False,False,552623.0,29774966.0,387815293.0,23415.0,,,,526059.0,372568.0,130851.0,174334.0,12215.0,112.11,113.5,272.63,10.0,,,,,,,,,,,industrial,53.8793463174714,0.018559987608382157,262203.14988391177,0.04237065775402037,23.601238522314755,206.1962641546524,0.9519310633107924,,,701.7719005542657,13.024877778197967
glucose,SC23_Timetable_C_481_E_51_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_481_E_51_Cl_32_D_6_T_50.cnf,SAT,265.4033799171448,10.0,False,False,2049365.0,84775316.0,966161413.0,24406.0,249051.0,802440.0,262.354,,,,,,,,,,2567.0,39.0,1906266.0,101.0,4929.0,2565.0,27.0,5872.0,,,industrial,41.366626247642564,0.02417407680320531,319420.6344563723,0.011909054755985391,83.9697205605179,91.95813560331904,,0.9301739807208574,0.0028652777811663615,471.4442829852174,11.396730305316703
maplesat,SC23_Timetable_C_481_E_51_Cl_32_D_6_T_50.cnf,benchmarks/SC23_Timetable_C_481_E_51_Cl_32_D_6_T_50.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,,,,
cadical,DivS_942_11.cnf.sanitized.cnf,benchmarks/DivS_942_11.cnf.sanitized.cnf,SAT,7.51041579246521,10.0,False,False,21029.0,286556.0,340815.0,36.0,,,,7057.0,2299.0,19024.0,16293.0,,7.34,7.48,302.83,10.0,,,,,,,,,,,crafted,13.626705977459698,0.0733853068859141,38154.478782318016,0.0017119216320319558,584.1388888888889,4.7933431376884394,0.3355841932569309,,,16.206904750582527,1.189348678792278
glucose,DivS_942_11.cnf.sanitized.cnf,benchmarks/DivS_942_11.cnf.sanitized.cnf,SAT,148.89956426620483,10.0,False,False,0.0,1.0,942.0,1.0,942.0,936584.0,147.435,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,crafted,,0.0,0.00671593637582569,,0.0,0.00671593637582569,,,,,942.0
maplesat,DivS_942_11.cnf.sanitized.cnf,benchmarks/DivS_942_11.cnf.sanitized.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,crafted,,,,,,,,,,,
cadical,SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf,benchmarks/SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf,TIMEOUT,300.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,
glucose,SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf,benchmarks/SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf,TIMEOUT,300.0,,True,False,,,,,810.0,68270.0,,,,,,,,,,,,,,,,,,,,,random,,,,,,,,,,,
